Density,RoomCount
0,390834,8243
0,385115,8163
0,386287,8163
0,393808,8323
0,391589,8204
0,389246,8192
0,391241,8325
0,394754,8402
0,383611,8203
0,389259,8317
0,390778,8276
0,395661,8244
0,388169,8217
0,390619,8316
0,400147,8488
0,384058,8208
0,397241,8215
0,385349,8135
0,392094,8437
0,388399,8195
0,381989,8062
0,397619,8520
0,389664,8157
0,391491,8380
0,397042,8342
0,388679,8194
0,393043,8232
0,394619,8274
0,396452,8223
0,392161,8347
0,397623,8214
0,392053,8237
0,393183,8357
0,396823,8515
0,39394,8429
0,390536,8370
0,386771,8207
0,389496,8243
0,395648,8341
0,396064,8402
0,396935,8432
0,393978,8237
0,38606,8189
0,393939,8300
0,387556,8302
0,393558,8205
0,394162,8271
0,386383,8270
0,391872,8435
0,393825,8334
0,386262,8291
0,391981,8175
0,386831,8250
0,395086,8452
0,384432,8214
0,38762,8036
0,396077,8441
0,39605,8416
0,391862,8284
0,38994,8262
0,384002,8097
0,380905,7947
0,389924,8209
0,39462,8429
0,394806,8458
0,397108,8331
0,378702,8061
0,388828,8153
0,383858,8160
0,393638,8392
0,396931,8468
0,390904,8092
0,391816,8336
0,384913,8065
0,393333,8357
0,3901,8173
0,389948,8356
0,39354,8342
0,3862,8094
0,395875,8469
0,396491,8274
0,399912,8383
0,39055,8195
0,391966,8160
0,389735,8187
0,38682,8174
0,388957,8370
0,395562,8422
0,383156,8150
0,384568,8088
0,390667,8232
0,387155,8202
0,392127,8214
0,395798,8387
0,381535,8036
0,388163,8296
0,384604,8166
0,39261,8308
0,391154,8340
0,399948,8461
0,385781,8093
0,380853,8025
0,392468,8320
0,385383,7946
0,382361,8143
0,389549,8244
0,388285,8246
0,398417,8379
0,386323,8089
0,391956,8269
0,375522,8046
0,394124,8311
0,395913,8463
0,392496,8158
0,389908,8266
0,384304,8134
0,396338,8388
0,387569,8100
0,38309,8260
0,379628,7946
0,39103,8348
0,395169,8458
0,388238,8244
0,38706,8196
0,396779,8290
0,395037,8356
0,385062,8201
0,396431,8243
0,392499,8475
0,383424,8126
0,396818,8327
0,399141,8556
0,384811,8136
0,396036,8355
0,389111,8325
0,383918,8015
0,396769,8471
0,392848,8407
0,382396,8065
0,388886,8173
0,3904,8288
0,389943,8204
0,388252,8211
0,391892,8327
0,388493,8178
0,387759,8311
0,382701,8260
0,397779,8372
0,391129,8114
0,389681,8183
0,393099,8152
0,394399,8224
0,389779,8217
0,394935,8275
0,396794,8460
0,384575,8196
0,389431,8287
0,386458,8179
0,39017,8288
0,389418,8262
0,389828,8319
0,391412,8327
0,392638,8301
0,387188,8074
0,382861,8163
0,39192,8282
0,387205,8135
0,386518,8137
0,389787,8236
0,383642,8228
0,385393,8114
0,384186,8183
0,399203,8321
0,400841,8603
0,383645,8296
0,396099,8376
0,390325,8461
0,396345,8355
0,390607,8269
0,383852,7931
0,386838,8211
0,396576,8404
0,391041,8268
0,393769,8252
0,390524,8388
0,390467,8319
0,385905,8157
0,387094,8148
0,398188,8511
0,390369,8248
0,389098,8268
0,390535,8128
0,391905,8210
0,399988,8297
0,382551,8129
0,384197,8260
0,387933,8249
0,394327,8304
0,384945,8295
0,389611,8329
0,387498,8161
0,393759,8310
0,38689,8237
0,386193,8059
0,3786,8080
0,405774,8580
0,387049,8185
0,393872,8377
0,3949,8292
0,372703,7868
0,390214,8312
0,387934,8259
0,399878,8343
0,398313,8423
0,395469,8328
0,389766,8373
0,395068,8225
0,38325,8064
0,396362,8397
0,397609,8259
0,389107,8169
0,386924,8144
0,388422,8118
0,393945,8314
0,385244,8172
0,389016,8155
0,385239,8155
0,397978,8412
0,399146,8602
0,384638,8031
0,397989,8520
0,395457,8416
0,39199,8135
0,387312,8107
0,388646,8160
0,383853,8186
0,407623,8568
0,390127,8171
0,384571,8198
0,388484,8309
0,394016,8325
0,392077,8130
0,391048,8307
0,404708,8713
0,38471,8112
0,395139,8400
0,397308,8408
0,396076,8502
0,387706,8279
0,388699,8146
0,398629,8331
0,401649,8441
0,394144,8246
0,391122,8346
0,392058,8337
0,38052,8096
0,394829,8382
0,393321,8192
0,388099,8305
0,397559,8277
0,393851,8215
0,393081,8317
0,387524,8210
0,394474,8363
0,389695,8411
0,39753,8374
0,39326,8475
0,384274,8229
0,398904,8372
0,388038,8076
0,380677,8055
0,386458,8136
0,391361,8268
0,384585,7951
0,381108,8018
0,386054,8219
0,391244,8110
0,393698,8310
0,393302,8373
0,388393,8093
0,385545,8045
0,388727,8099
0,393256,8158
0,391309,8079
0,391711,8219
0,382285,8022
0,39421,8315
0,386705,8024
0,384605,8163
0,397006,8489
0,385097,8148
0,392625,8321
0,386329,8203
0,386596,8212
0,39635,8298
0,379517,8040
0,397811,8392
0,393256,8243
0,394957,8272
0,384934,8185
0,390599,8384
0,395936,8389
0,398684,8519
0,398958,8317
0,38613,8225
0,392636,8315
0,386248,8222
0,390138,8245
0,392307,8407
0,394321,8435
0,38755,8195
0,391712,8387
0,388353,8247
0,389997,8342
0,385878,8244
0,399559,8315
0,393537,8451
0,384964,8265
0,387162,8020
0,396555,8417
0,39681,8262
0,393057,8245
0,388642,8244
0,395055,8303
0,398388,8424
0,388552,8323
0,396695,8462
0,39145,8376
0,395077,8391
0,386399,8198
0,395239,8494
0,391972,8329
0,395223,8252
0,397975,8423
0,383682,8066
0,387153,8176
0,393476,8351
0,386312,8329
0,393935,8210
0,390176,8267
