Density,RoomCount
0,3525377,5
0,2633745,3
0,473251,7
0,4471879,6
0,4046639,5
0,3237311,4
0,3758574,8
0,3648834,5
0,4074074,7
0,4691358,6
0,340192,4
0,478738,6
0,3305899,5
0,3895748,7
0,1728395,4
0,4622771,8
0,2277092,3
0,4403292,8
0,3731138,6
0,5048011,7
0,2620027,5
0,388203,6
0,4581619,7
0,3305899,5
0,3539095,6
0,3470508,6
0,3799726,7
0,3758574,5
0,4513032,7
0,3360768,4
0,2222222,4
0,3004115,6
0,3470508,6
0,1989026,3
0,4581619,9
0,4334705,7
0,3113855,5
0,39369,5
0,521262,7
0,2853224,5
0,3607682,6
0,3045267,5
0,3360768,5
0,3196159,4
0,4019204,5
0,3895748,6
0,39369,6
0,3113855,4
0,3593964,6
0,3497942,5
0,3580247,6
0,4801098,6
0,3758574,5
0,4471879,7
0,2331962,5
0,308642,4
0,2812071,4
0,3717421,4
0,2962963,5
0,3168724,5
0,4334705,8
0,351166,6
0,4485597,6
0,3635117,5
0,3100137,4
0,4238683,7
0,3731138,5
0,3786008,7
0,4156379,8
0,2908093,4
0,478738,8
0,4032922,5
0,3470508,7
0,2962963,7
0,3813443,5
0,4691358,8
0,3717421,7
0,345679,4
0,3155007,5
0,1769547,2
0,4814815,7
0,3388203,5
0,4032922,6
0,4142661,7
0,4389575,6
0,5226337,11
0,4773663,8
0,2647462,3
0,4266118,6
0,4224966,7
0,4636488,7
0,3278464,5
0,3347051,5
0,5871056,8
0,4142661,4
0,4046639,5
0,3209876,5
0,4471879,7
0,3374486,4
0,4032922,6
0,3813443,6
0,4197531,5
0,3854595,9
0,2894376,4
0,266118,4
0,4938272,7
0,5418381,9
0,3429355,5
0,3429355,5
0,21262,5
0,3319616,5
0,4814815,9
0,399177,5
0,351166,5
0,09876543,2
0,3607682,5
0,4485597,7
0,2990398,5
0,5226337,10
0,39369,5
0,4938272,7
0,3113855,5
0,3607682,4
0,2496571,4
0,3429355,5
0,4142661,8
0,303155,4
0,4334705,7
0,4403292,7
0,345679,5
0,4320988,8
0,3196159,5
0,3415638,5
0,4951989,9
0,5006859,8
0,3923182,7
0,3786008,7
0,3333333,6
0,4252401,7
0,3593964,5
0,2071331,5
0,4622771,9
0,3100137,5
0,3827161,8
0,4526749,6
0,4197531,6
0,3072702,4
0,4142661,5
0,399177,8
0,09876543,1
0,340192,6
0,4115226,7
0,4156379,7
0,3072702,7
0,39369,8
0,4348423,7
0,4019204,6
0,4650206,8
0,3703704,6
