Density,RoomCount
0,3209876,7
0,4074074,6
0,4238683,5
0,4471879,6
0,2345679,4
0,4293553,7
0,3566529,8
0,4197531,7
0,4238683,7
0,351166,5
0,4334705,7
0,4526749,8
0,2894376,4
0,4759945,8
0,297668,4
0,3072702,4
0,3374486,5
0,308642,6
0,1742112,4
0,4279836,7
0,3100137,5
0,3648834,5
0,4595336,7
0,2290809,4
0,4252401,8
0,5198902,9
0,4814815,7
0,2647462,4
0,3058985,4
0,5048011,7
0,3196159,6
0,5198902,8
0,4266118,7
0,4238683,11
0,3950617,6
0,478738,8
0,3552812,5
0,3429355,5
0,3717421,6
0,3689986,5
0,4554184,8
0,467764,7
0,4320988,6
0,3950617,8
0,3045267,4
0,2620027,4
0,3004115,4
0,4526749,9
0,3676269,4
0,441701,8
0,4759945,8
0,2770919,4
0,4156379,9
0,3648834,7
0,3168724,5
0,5582991,7
0,3744856,7
0,5679013,9
0,5061728,9
0,218107,3
0,3799726,7
0,4526749,6
0,3689986,7
0,4211248,6
0,5144033,8
0,4951989,6
0,4197531,6
0,388203,5
0,3840878,8
0,3333333,5
0,3731138,5
0,3305899,5
0,388203,7
0,3689986,6
0,478738,8
0,3443073,6
0,3662551,6
0,3429355,6
0,3388203,4
0,3703704,7
0,3854595,7
0,3497942,6
0,3072702,4
0,4705075,11
0,4183813,6
0,3799726,6
0,3923182,6
0,526749,7
0,3703704,5
0,4279836,6
0,3744856,6
0,3347051,5
0,2373114,4
0,303155,4
0,3662551,7
0,2359396,5
0,4705075,7
0,2716049,4
0,2414266,4
0,3799726,7
0,4814815,8
0,340192,5
0,4115226,6
0,2578875,4
0,3854595,5
0,3360768,5
0,3635117,7
0,3868313,7
0,4348423,5
0,3593964,5
0,3209876,6
0,3484225,7
0,2524005,5
0,484225,6
0,4567901,10
0,4993141,8
0,4293553,6
0,3443073,4
0,2935528,5
0,2702332,4
0,473251,8
0,3895748,7
0,3539095,6
0,3004115,5
0,3251029,6
0,3100137,5
0,255144,4
0,4897119,8
0,4526749,5
0,3388203,4
0,4718793,9
0,3717421,7
0,4060357,6
0,4499314,6
0,340192,4
0,1728395,3
0,430727,8
0,39369,5
0,3923182,6
0,5171468,7
0,4101509,5
0,5075446,8
0,3347051,6
0,39369,6
0,4005487,8
0,3923182,8
0,3333333,7
0,3703704,5
0,3072702,5
0,4266118,8
0,345679,5
0,4348423,8
0,4636488,8
0,3058985,5
0,3813443,7
0,3827161,4
0,4183813,7
0,3305899,6
0,3593964,8
0,4060357,8
0,2908093,5
0,5226337,9
0,3223594,6
0,3278464,6
0,473251,7
0,3292181,4
0,3923182,7
0,4060357,8
0,3100137,5
0,2112483,3
0,4663923,7
0,5281207,7
0,1989026,3
0,399177,6
0,308642,4
0,3950617,8
0,3552812,5
0,3607682,5
0,3209876,4
0,4993141,9
0,3635117,7
0,4005487,7
0,3703704,6
0,3388203,6
0,1673525,3
0,3497942,7
0,3717421,6
0,3580247,5
0,3182442,6
0,4266118,6
0,5281207,9
0,3648834,6
0,467764,7
0,5432099,9
0,3113855,5
0,4389575,5
0,2331962,3
0,3113855,4
0,1975309,3
0,3964335,8
0,4074074,9
0,3539095,6
0,4513032,7
0,3758574,6
0,4691358,5
0,3703704,7
0,3374486,4
0,4759945,7
0,4005487,8
0,2482853,5
0,39369,7
0,3621399,5
0,3017833,5
0,569273,9
0,4924554,9
0,3429355,5
0,3593964,6
0,4801098,8
0,5020576,8
0,399177,6
0,3374486,6
0,5061728,7
0,2770919,3
0,2866941,5
0,3360768,5
0,3100137,4
0,4252401,8
0,3978052,7
0,430727,5
0,2949246,5
0,3100137,5
0,4938272,7
0,3895748,6
0,3058985,5
0,3443073,6
0,5336077,9
0,3470508,5
0,3127572,7
0,303155,4
0,4279836,6
0,4540466,6
0,1893004,3
0,4128944,6
0,2620027,4
0,3470508,4
0,3703704,7
0,4540466,7
0,3168724,4
0,430727,8
0,4444444,7
0,5116598,8
0,2112483,4
0,2674897,5
0,2524005,4
0,436214,5
0,4142661,7
0,09876543,1
0,303155,6
0,3731138,6
0,39369,8
0,2537723,5
0,5116598,9
0,3731138,4
0,4128944,6
0,5994513,9
0,3251029,7
0,3292181,6
0,3854595,7
0,3758574,7
0,2002743,2
0,2757202,6
0,3429355,5
0,4458162,5
0,2990398,5
0,2853224,4
0,4115226,6
0,2482853,4
0,2770919,4
0,3415638,6
0,4074074,7
0,3319616,4
0,5020576,7
0,3209876,5
0,4718793,9
0,3772291,6
0,3909465,8
0,4526749,8
0,3566529,6
0,3539095,7
0,5665295,8
0,2620027,5
0,4115226,9
0,4389575,9
0,3799726,7
0,2825789,6
0,4032922,6
0,3209876,5
0,4087791,7
0,4705075,6
0,4554184,8
0,5020576,8
0,4979424,8
0,3333333,6
0,4101509,7
0,3415638,7
0,2290809,4
0,5006859,8
0,3196159,4
0,3923182,7
0,4993141,7
0,3566529,6
0,4595336,6
0,467764,7
0,515775,7
0,3113855,4
0,4211248,6
0,2949246,5
0,3868313,5
0,4074074,6
0,3854595,7
0,4499314,4
0,4348423,7
0,5034294,9
0,5459533,8
0,2962963,5
0,1879287,2
0,3909465,6
0,2496571,6
0,4087791,6
0,2825789,4
0,3113855,6
0,3593964,5
0,3662551,6
0,3100137,5
0,2112483,4
0,3100137,4
0,3470508,5
0,3319616,4
0,388203,5
0,2866941,4
0,3895748,6
0,4458162,6
