Density,RoomCount
0,322176,109
0,417408,146
0,415552,123
0,362176,124
0,37952,115
0,410688,138
0,404928,129
0,387008,130
0,399424,125
0,411136,134
0,349568,112
0,37056,116
0,394688,133
0,404864,124
0,359488,113
0,39136,132
0,431616,156
0,426432,130
0,417536,144
0,409984,139
0,410304,123
0,371456,120
0,422656,139
0,411264,135
0,386176,129
0,404288,141
0,365504,119
0,413824,126
0,392768,131
0,391616,122
0,365184,126
0,413056,126
0,357504,124
0,367808,134
0,383104,119
0,386432,134
0,390848,131
0,362752,132
0,341376,103
0,404928,128
0,395008,134
0,372288,129
0,376256,131
0,333376,120
0,442496,140
0,400832,135
0,403776,134
0,353024,122
0,359232,130
0,404864,130
0,377408,129
0,366464,118
0,384832,134
0,376704,115
0,38432,125
0,385344,132
0,406208,135
0,38752,134
0,380736,126
0,375168,137
0,434368,142
0,396416,137
0,382272,121
0,400064,129
0,376192,136
0,449024,136
0,37696,115
0,40512,133
0,371648,111
0,420608,156
0,389504,130
0,420288,142
0,343232,104
0,354112,126
0,414528,129
0,428032,144
0,380608,128
0,404544,137
0,409728,139
0,396288,121
0,365248,126
0,394048,139
0,372544,126
0,398848,133
0,403072,141
0,35552,117
0,40704,132
0,382272,122
0,323456,97
0,359616,118
0,398016,128
0,352256,115
0,388096,132
0,413184,137
0,406336,135
0,369088,113
0,393984,129
0,392832,132
0,350592,118
0,369152,137
0,359808,109
0,37376,122
0,412608,142
0,39744,126
0,4192,140
0,370752,117
0,438592,142
0,435904,148
0,413568,129
0,412096,132
0,359168,113
0,387968,133
0,396224,134
0,38112,114
0,416896,150
0,333696,118
0,392896,129
0,395392,132
0,335808,105
0,393984,121
0,379328,136
0,400832,133
0,384448,127
0,404352,124
0,393984,150
0,405312,138
0,436928,146
0,450816,161
0,398208,126
0,414784,127
0,380352,127
0,388928,124
0,413184,142
0,396096,126
0,401472,132
0,379776,123
0,41984,131
0,398592,118
0,407296,131
0,42496,117
0,412608,145
0,411136,130
0,37824,145
0,40192,136
0,376512,127
0,373248,117
0,415488,142
0,410752,133
0,350464,120
0,397952,135
0,386816,132
0,396096,124
0,364096,106
0,37536,121
0,436096,146
0,394048,119
0,39136,136
0,369024,123
0,400512,126
0,41344,153
0,358336,123
0,448128,148
0,3472,107
0,378944,116
0,432512,121
0,38816,140
0,37856,124
0,3488,112
0,398592,138
0,381376,123
0,42368,138
0,396992,135
0,377472,127
0,429056,143
0,37408,122
0,45184,159
0,369216,114
0,423488,132
0,424,128
0,381056,130
0,397504,128
0,388416,133
0,388416,126
0,37664,121
0,397312,143
0,412096,133
0,39712,150
0,411648,132
0,346752,110
0,384128,126
0,382592,134
0,353472,116
0,435456,142
0,425728,142
0,372288,125
0,405504,134
0,399936,129
0,390464,124
0,34144,108
0,361088,124
0,405056,127
0,406272,127
0,413952,136
0,409472,145
0,399424,141
0,3904,135
0,386304,123
0,369216,121
0,403072,141
0,376576,111
0,344576,123
0,415872,135
0,34048,114
0,366784,112
0,416064,132
0,372096,110
0,379776,128
0,396608,125
0,372352,116
0,417152,144
0,377856,121
0,415168,134
0,405568,138
0,382016,133
0,34848,116
0,36736,115
0,414848,151
0,397184,139
0,355776,116
0,393152,128
0,378368,121
0,379456,123
